Variable,Min,Max,Mean,Shape,Graphs
variable_9639,-108276561.602299,108276561.602299,1102516.6377456768,"(12, 12)",graph
variable_9640,-414000000000.0,-414000000000.0,-414000000000.0,"(1,)",graph
variable_9641,-162090337.54832616,-162090337.54832616,-162090337.54832616,"(1,)",graph
variable_9642,2.0,2.0,2.0,"(1,)",graph
variable_9643,4.0,4.0,4.0,"(1,)",graph
variable_9644,-40522584.38708154,-40522584.38708154,-40522584.38708154,"(1,)",graph
variable_9645,-108276561.602299,108276561.602299,821109.801724277,"(12, 12)",graph
variable_9646,-26000000000.0,-26000000000.0,-26000000000.0,"(1,)",graph
variable_9647,-20359172.83215691,-20359172.83215691,-20359172.83215691,"(1,)",graph
variable_9648,-10179586.416078456,-10179586.416078456,-10179586.416078456,"(1,)",graph
variable_9649,-108276561.602299,108276561.602299,750418.229390399,"(12, 12)",graph
variable_9650,414000000000.0,414000000000.0,414000000000.0,"(1,)",graph
variable_9651,162090337.54832616,162090337.54832616,162090337.54832616,"(1,)",graph
variable_9652,2.0,2.0,2.0,"(1,)",graph
variable_9653,4.0,4.0,4.0,"(1,)",graph
variable_9654,40522584.38708154,40522584.38708154,40522584.38708154,"(1,)",graph
variable_9655,-108276561.602299,108276561.602299,1031825.0654117984,"(12, 12)",graph
variable_9656,138000000000.0,138000000000.0,138000000000.0,"(1,)",graph
variable_9657,54030112.51610872,54030112.51610872,54030112.51610872,"(1,)",graph
variable_9658,27015056.25805436,27015056.25805436,27015056.25805436,"(1,)",graph
variable_9659,-108276561.602299,108276561.602299,1219429.622759398,"(12, 12)",graph
variable_9660,-414000000000.0,-414000000000.0,-414000000000.0,"(1,)",graph
variable_9661,-162090337.54832616,-162090337.54832616,-162090337.54832616,"(1,)",graph
variable_9662,2.0,2.0,2.0,"(1,)",graph
variable_9663,4.0,4.0,4.0,"(1,)",graph
variable_9664,-40522584.38708154,-40522584.38708154,-40522584.38708154,"(1,)",graph
variable_9665,-108276561.602299,108276561.602299,938022.7867379987,"(12, 12)",graph
variable_9666,138000000000.0,138000000000.0,138000000000.0,"(1,)",graph
variable_9667,54030112.51610872,54030112.51610872,54030112.51610872,"(1,)",graph
variable_9668,27015056.25805436,27015056.25805436,27015056.25805436,"(1,)",graph
variable_9669,-108276561.602299,108276561.602299,1125627.3440855984,"(12, 12)",graph
variable_9670,-0.003138451060936203,-0.003138451060936203,-0.003138451060936203,"(1,)",graph
variable_9671,69000000000.0,69000000000.0,69000000000.0,"(1,)",graph
variable_9672,-216553123.204598,-216553123.204598,-216553123.204598,"(1,)",graph
variable_9673,-108276561.602299,-108276561.602299,-108276561.602299,"(1,)",graph
variable_9674,-108276561.602299,108276561.602299,373706.7774029664,"(12, 12)",graph
variable_9675,-828000000000.0,-828000000000.0,-828000000000.0,"(1,)",graph
variable_9676,-324180675.0966523,-324180675.0966523,-324180675.0966523,"(1,)",graph
variable_9677,3.0,3.0,3.0,"(1,)",graph
variable_9678,8.0,8.0,8.0,"(1,)",graph
variable_9679,-40522584.38708154,-40522584.38708154,-40522584.38708154,"(1,)",graph
variable_9680,-108276561.602299,108276561.602299,92299.94138156685,"(12, 12)",graph
variable_9681,-414000000000.0,-414000000000.0,-414000000000.0,"(1,)",graph
variable_9682,-162090337.54832616,-162090337.54832616,-162090337.54832616,"(1,)",graph
variable_9683,2.0,2.0,2.0,"(1,)",graph
variable_9684,4.0,4.0,4.0,"(1,)",graph
variable_9685,-40522584.38708154,-40522584.38708154,-40522584.38708154,"(1,)",graph
variable_9686,-108276561.602299,108276561.602299,-189106.8946398327,"(12, 12)",graph
variable_9687,-828000000000.0,-828000000000.0,-828000000000.0,"(1,)",graph
variable_9688,-324180675.0966523,-324180675.0966523,-324180675.0966523,"(1,)",graph
variable_9689,3.0,3.0,3.0,"(1,)",graph
variable_9690,8.0,8.0,8.0,"(1,)",graph
variable_9691,-40522584.38708154,-40522584.38708154,-40522584.38708154,"(1,)",graph
variable_9692,-108276561.602299,108276561.602299,-470513.73066123226,"(12, 12)",graph
variable_9693,414000000000.0,414000000000.0,414000000000.0,"(1,)",graph
variable_9694,162090337.54832616,162090337.54832616,162090337.54832616,"(1,)",graph
variable_9695,2.0,2.0,2.0,"(1,)",graph
variable_9696,4.0,4.0,4.0,"(1,)",graph
variable_9697,40522584.38708154,40522584.38708154,40522584.38708154,"(1,)",graph
variable_9698,-108276561.602299,108276561.602299,-189106.8946398327,"(12, 12)",graph
variable_9699,-26000000000.0,-26000000000.0,-26000000000.0,"(1,)",graph
variable_9700,-20359172.83215691,-20359172.83215691,-20359172.83215691,"(1,)",graph
variable_9701,-10179586.416078456,-10179586.416078456,-10179586.416078456,"(1,)",graph
variable_9702,-108276561.602299,108276561.602299,-259798.4669737108,"(12, 12)",graph
variable_9703,-414000000000.0,-414000000000.0,-414000000000.0,"(1,)",graph
variable_9704,-162090337.54832616,-162090337.54832616,-162090337.54832616,"(1,)",graph
variable_9705,2.0,2.0,2.0,"(1,)",graph
variable_9706,4.0,4.0,4.0,"(1,)",graph
variable_9707,-40522584.38708154,-40522584.38708154,-40522584.38708154,"(1,)",graph
variable_9708,-108276561.602299,108276561.602299,-541205.3029951104,"(12, 12)",graph
variable_9709,138000000000.0,138000000000.0,138000000000.0,"(1,)",graph
variable_9710,54030112.51610872,54030112.51610872,54030112.51610872,"(1,)",graph
variable_9711,27015056.25805436,27015056.25805436,27015056.25805436,"(1,)",graph
variable_9712,-108276561.602299,108276561.602299,-353600.7456475105,"(12, 12)",graph
variable_9713,414000000000.0,414000000000.0,414000000000.0,"(1,)",graph
variable_9714,162090337.54832616,162090337.54832616,162090337.54832616,"(1,)",graph
variable_9715,2.0,2.0,2.0,"(1,)",graph
variable_9716,4.0,4.0,4.0,"(1,)",graph
variable_9717,40522584.38708154,40522584.38708154,40522584.38708154,"(1,)",graph
variable_9718,-108276561.602299,108276561.602299,-72193.90962611098,"(12, 12)",graph
variable_9719,138000000000.0,138000000000.0,138000000000.0,"(1,)",graph
variable_9720,54030112.51610872,54030112.51610872,54030112.51610872,"(1,)",graph
variable_9721,27015056.25805436,27015056.25805436,27015056.25805436,"(1,)",graph
variable_9722,-108276561.602299,108276561.602299,115410.64772148844,"(12, 12)",graph
variable_9723,69000000000.0,69000000000.0,69000000000.0,"(1,)",graph
variable_9724,216553123.204598,216553123.204598,216553123.204598,"(1,)",graph
variable_9725,108276561.602299,108276561.602299,108276561.602299,"(1,)",graph
variable_9726,-108276561.602299,108276561.602299,867331.2144041205,"(12, 12)",graph
variable_9727,828000000000.0,828000000000.0,828000000000.0,"(1,)",graph
variable_9728,324180675.0966523,324180675.0966523,324180675.0966523,"(1,)",graph
variable_9729,3.0,3.0,3.0,"(1,)",graph
variable_9730,8.0,8.0,8.0,"(1,)",graph
variable_9731,40522584.38708154,40522584.38708154,40522584.38708154,"(1,)",graph
variable_9732,-108276561.602299,108276561.602299,1148738.0504255202,"(12, 12)",graph
variable_9733,-414000000000.0,-414000000000.0,-414000000000.0,"(1,)",graph
variable_9734,-162090337.54832616,-162090337.54832616,-162090337.54832616,"(1,)",graph
variable_9735,2.0,2.0,2.0,"(1,)",graph
variable_9736,4.0,4.0,4.0,"(1,)",graph
variable_9737,-40522584.38708154,-40522584.38708154,-40522584.38708154,"(1,)",graph
variable_9738,-108276561.602299,108276561.602299,867331.2144041206,"(12, 12)",graph
variable_9739,-414000000000.0,-414000000000.0,-414000000000.0,"(1,)",graph
variable_9740,-162090337.54832616,-162090337.54832616,-162090337.54832616,"(1,)",graph
variable_9741,2.0,2.0,2.0,"(1,)",graph
variable_9742,4.0,4.0,4.0,"(1,)",graph
variable_9743,-40522584.38708154,-40522584.38708154,-40522584.38708154,"(1,)",graph
variable_9744,-108276561.602299,108276561.602299,585924.3783827208,"(12, 12)",graph
variable_9745,828000000000.0,828000000000.0,828000000000.0,"(1,)",graph
variable_9746,324180675.0966523,324180675.0966523,324180675.0966523,"(1,)",graph
variable_9747,3.0,3.0,3.0,"(1,)",graph
variable_9748,8.0,8.0,8.0,"(1,)",graph
variable_9749,40522584.38708154,40522584.38708154,40522584.38708154,"(1,)",graph
variable_9750,-108276561.602299,108276561.602299,867331.2144041206,"(12, 12)",graph
variable_9751,414000000000.0,414000000000.0,414000000000.0,"(1,)",graph
variable_9752,162090337.54832616,162090337.54832616,162090337.54832616,"(1,)",graph
variable_9753,2.0,2.0,2.0,"(1,)",graph
variable_9754,4.0,4.0,4.0,"(1,)",graph
variable_9755,40522584.38708154,40522584.38708154,40522584.38708154,"(1,)",graph
variable_9756,-108276561.602299,108276561.602299,1148738.05042552,"(12, 12)",graph
variable_9757,414000000000.0,414000000000.0,414000000000.0,"(1,)",graph
variable_9758,162090337.54832616,162090337.54832616,162090337.54832616,"(1,)",graph
variable_9759,2.0,2.0,2.0,"(1,)",graph
variable_9760,4.0,4.0,4.0,"(1,)",graph
variable_9761,40522584.38708154,40522584.38708154,40522584.38708154,"(1,)",graph
variable_9762,-108276561.602299,108276561.602299,1430144.8864469198,"(12, 12)",graph
variable_9763,26000000000.0,26000000000.0,26000000000.0,"(1,)",graph
variable_9764,20359172.83215691,20359172.83215691,20359172.83215691,"(1,)",graph
variable_9765,10179586.416078456,10179586.416078456,10179586.416078456,"(1,)",graph
variable_9766,-108276561.602299,108276561.602299,1500836.4587807977,"(12, 12)",graph
variable_9767,276000000000.0,276000000000.0,276000000000.0,"(1,)",graph
variable_9768,108060225.03221744,108060225.03221744,108060225.03221744,"(1,)",graph
variable_9769,54030112.51610872,54030112.51610872,54030112.51610872,"(1,)",graph
variable_9770,-108276561.602299,108276561.602299,1876045.573475997,"(12, 12)",graph
variable_9771,276000000000.0,276000000000.0,276000000000.0,"(1,)",graph
variable_9772,108060225.03221744,108060225.03221744,108060225.03221744,"(1,)",graph
variable_9773,54030112.51610872,54030112.51610872,54030112.51610872,"(1,)",graph
variable_9774,-108276561.602299,108276561.602299,2251254.6881711967,"(12, 12)",graph
variable_9775,-108276561.602299,108276561.602299,1688441.0161283975,"(20, 12, 12)",graph
variable_9776,0.0,10.0,3.3333333333333335,"(3,)","graph,sub"
variable_9777,0.0,8.0,2.6666666666666665,"(3,)","graph,sub"
variable_9778,0.0,2.0,0.6666666666666666,"(3,)","graph,sub"
variable_9779,2.0,2.0,2.0,"(1,)",graph
variable_9780,0.0,1.0,0.3333333333333333,"(3,)",graph
variable_9781,1.0,1.0,1.0,"(1,)",graph
variable_9782,0.0,0.0,0.0,"(1,)",graph
variable_9783,0.0,0.0,0.0,"(1,)",graph
variable_9784,2.0,2.0,2.0,"(1,)",graph
variable_9785,1.0,1.0,1.0,"(1,)",graph
variable_9786,2.0,2.0,2.0,"(1,)",graph
variable_9787,0.0,0.0,0.0,"(1,)",graph
variable_9788,1.0,1.0,1.0,"(1,)",graph
variable_9789,0.5,0.5,0.5,"(1,)",graph
variable_9790,1.0,1.0,1.0,"(1,)",graph
variable_9791,0.0,0.0,0.0,"(3, 3)",graph
variable_9792,0.0,1.0,0.3333333333333333,"(3, 3)",graph
variable_9793,0.0,0.0,0.0,"(3, 3)",graph
variable_9794,0.0,0.0,0.0,"(3, 3)",graph
variable_9795,-0.0,-0.0,0.0,"(1,)",graph
variable_9796,-0.0,-0.0,0.0,"(1,)",graph
variable_9797,0.0,0.0,0.0,"(3, 3)",graph
variable_9798,1.0,1.0,1.0,"(1,)",graph
variable_9799,0.0,1.0,0.3333333333333333,"(3, 3)",graph
variable_9800,-1.0,-1.0,-1.0,"(1,)",graph
variable_9801,-0.0,-0.0,0.0,"(1,)",graph
variable_9802,-0.0,-0.0,0.0,"(1,)",graph
variable_9803,-0.0,1.0,0.3333333333333333,"(3, 3)",graph
variable_9804,-0.0,-0.0,0.0,"(1,)",graph
variable_9805,-0.0,-0.0,0.0,"(1,)",graph
variable_9806,-0.0,-0.0,0.0,"(1,)",graph
variable_9807,-0.0,-0.0,0.0,"(3, 3)",graph
